Edition,Played,Won,Loss,Tied,No Result,Win%,Home Win%,Away Win%,Neutral Win%,Status
IPL 2008,15,7,7,-,1,50%,4/7 (1 NR)= 66.67%,3/7= 42.86%,0/1=0%,Semifinalists
IPL 2009,15,10,5,-,-,66.67%,-,-,10/15= 66.67%,"League Stage Table Toppers, Semifinalists"
IPL 2010,14,7,7,-,-,50%,3/7= 42.86%,4/7= 57.14%,-,League stage
IPL 2011,14,4,9,-,1,30.77%,1/7 (1 NR)= 16.67%,3/7= 42.86%,-,League stage
IPL 2012,18,11,7,-,-,61.11%,5/8= 62.5%,6/9= 66.67%,0/1=0%,"League Stage Table Toppers, Playoffs"
IPL 2013,16,3,13,-,-,18.75%,3/8= 37.5%,0/8= 0%,0/0=0%,League Stage
IPL 2014,14,2,12,-,-,14.28%,0/5= 0%,0/4= 0%,2/5=40%,League Stage
IPL 2015,14,5,8,-,1,35.70%,3/7= 42.8%,2/7= 28.5%,0/0=0%,League Stage
IPL 2016,14,7,7,-,-,50%,2/2  =100 %,1/2= 50%,= %,League Stage
IPL 2017,14,6,8,-,-,42.85%,2/2  =100 %,1/2= 50%,= %,League Stage
IPL 2018,14,5,9,-,-,0,0,0,0,League stage
Overall,162,67,92,-,3,43.66%,22/53 (2 NR)= %,18/50= 36%,12/22= 54.54%,
